sl,number in book,country,Title,text
253,6,Netherlands,Build back better,"The COVID-19 pandemic has worsened the condition of those with deficient opportunities. Cities, especially in these times, should be at the forefront of progressive solidarity and battle discrimination, racism and sexism."
254,6,Netherlands,Build back better,We can only move forward by taking equitable actions in favour of those in high need for support or suffering from historical intolerances.
255,6,Netherlands,Build back better,All urban actors should foster their solidarity towards those who are misrepresented.
256,6,Netherlands,Build back better,We stand up for plans and policies which seriously reflect the diversity of a city’s inhabitants and adapt their initiatives to this diversity accordingly.
257,6,Netherlands,Build back better,"Legal requirements should, for example, be introduced for inclusive and responsive participation processes involving the entire spectrum of socio-economic groups!"
258,6,Netherlands,Build back better,V. A Just City should... Have public space that feels public-friendly!
259,6,Netherlands,Build back better,The reality of today's public spaces in cities is simple: scarcely any physical spaces perceived as ‘public’ are people-based.
260,6,Netherlands,Build back better,Ambiguity over interpretations of user spaces gives way to confusion over the extent to which the citizens can claim to appropriate them.
261,6,Netherlands,Build back better,"Cities should give a more active role to the members of their communities in the management and preservation of public spaces, particularly those that are designed for social interaction and"
262,6,Netherlands,Build back better,"movement, such as urban parks and railway stations."
263,6,Netherlands,Build back better,"Currently, our shared spaces are at a risk of becoming overly homogenized to fit the mould of modern urban planning."
264,6,Netherlands,Build back better,"In a Just City, public-spaces should allow us to express the mix of cultural identities within our society."
265,6,Netherlands,Build back better,"By providing the platform for different communities to interact and work together, we can contribute to a shared sense of identity that we believe to be a valuable asset in the creation of a Just and united City!"
266,6,Netherlands,Build back better,Each of us can play a role in making cities just.
267,6,Netherlands,Build back better,Let’s join our forces and let’s come together at the intersection of these different dimensions of Urban Justice!
268,7,UK,10 points for equity and equality in the built environment,10 points for equity and equality in the built environment
269,7,UK,10 points for equity and equality in the built environment,WE BELIEVE IN A JUST CITY
270,7,UK,10 points for equity and equality in the built environment,1.Young people:
271,7,UK,10 points for equity and equality in the built environment,Planning is about the FUTURE.
272,7,UK,10 points for equity and equality in the built environment,"Unfortunately engagement around planning issues has historically been dominated by the same voices: people who are time rich, and who generally have greater social capital."
273,7,UK,10 points for equity and equality in the built environment,Young people care about the city around them but fail to get involved as there are limited opportunities for their perspectives to be acknowledged.
274,7,UK,10 points for equity and equality in the built environment,Greater IMAGINATION is needed to get people ENGAGED in planning and to empower them with the AUTHORITY to influence planning outcomes.
275,7,UK,10 points for equity and equality in the built environment,2. Diversity:
276,7,UK,10 points for equity and equality in the built environment,The reliance on evidence based policies in planning means that the knowledge of experts often trumps the lived experiences of local people.
277,7,UK,10 points for equity and equality in the built environment,"In addition to ensuring young people are engaged, planning needs to ensure LOCAL KNOWLEDGE is recognised and used to shape cities."
278,7,UK,10 points for equity and equality in the built environment,The city is not homogenous.
279,7,UK,10 points for equity and equality in the built environment,"In order for the city to work for all people, decision making processes must give minority populations a VOICE."
280,7,UK,10 points for equity and equality in the built environment,3. Equity:
281,7,UK,10 points for equity and equality in the built environment,Planning is about making a place for EVERYONE.
282,7,UK,10 points for equity and equality in the built environment,The contemporary city is characterised by unaffordable housing and disparity in terms of opportunities and wealth.
283,7,UK,10 points for equity and equality in the built environment,The future of planning must dismantle these systems and create more affordable housing and opportunities for marginalised communities.
284,7,UK,10 points for equity and equality in the built environment,"As private companies are increasingly relied upon to build our cities, measures are needed to ensure that the interests of stakeholders are not placed above the needs of the public."
285,7,UK,10 points for equity and equality in the built environment,4. Safety:
286,7,UK,10 points for equity and equality in the built environment,The city must be safe for all races and genders of people.
287,7,UK,10 points for equity and equality in the built environment,The Black Lives Matter movement since its inception in 2013 has highlighted the ongoing history of violence towards black people by police illustrating that the city is not safe for everyone.
288,7,UK,10 points for equity and equality in the built environment,"Additionally, lack of consideration of women and non-heterosexual people has resulted in a lack of safety and inclusion in some city spaces."
289,7,UK,10 points for equity and equality in the built environment,"While these concerns cannot fully be addressed by planners, planners must work COLLABORATIVELY with stakeholders to ensure all members of the city feel safe throughout their lives."
290,7,UK,10 points for equity and equality in the built environment,5. Health:
291,7,UK,10 points for equity and equality in the built environment,The city must facilitate healthy lifestyles.
292,7,UK,10 points for equity and equality in the built environment,The ongoing global pandemic has highlighted the twin crises of health and inequality.
293,7,UK,10 points for equity and equality in the built environment,The lowest socioeconomic groups have been hit hardest by the pandemic because of the high prevalence of pre-existing conditions in low income communities.
294,7,UK,10 points for equity and equality in the built environment,These conditions include obesity related diseases such as diabetes caused by lack of access to healthy foods and respiratory diseases such asthma caused by poor air quality or poor quality housing.
295,7,UK,10 points for equity and equality in the built environment,"Planners have a RESPONSIBILITY to ensure spaces are provided PROACTIVELY to address these issues such as providing more high-quality affordable housing, more spaces for exercise, and better access to healthy food."
296,7,UK,10 points for equity and equality in the built environment,6. Flexible Places:
297,7,UK,10 points for equity and equality in the built environment,"Space has always been invested with a sense of identity through perceptions of ownership; it is constantly fought over, mapped, and bounded."
298,7,UK,10 points for equity and equality in the built environment,These histories impact the intrinsically local nature of individuals’ sense of ‘place’ (Massey 2005).
299,7,UK,10 points for equity and equality in the built environment,"In a globalised world, there is a tension between the local practice of planning, rooted in cultural traditions and institutional structures, and the implementation of these internationally focussed, overarching principles for building a Just City."
300,7,UK,10 points for equity and equality in the built environment,"FLEXIBILITY is crucial, on both sides, for ensuring the practical application of these principles to a variety of contexts."
301,7,UK,10 points for equity and equality in the built environment,7.  Biodiversity:
302,7,UK,10 points for equity and equality in the built environment,The global climate crisis coupled with the fact that the majority of the world’s population now live in urban settlements has increased the importance of CONSERVING and ENHANCING biodiversity in cities.
303,7,UK,10 points for equity and equality in the built environment,Urban green spaces are crucial habitats to support and restore biodiversity and promote community engagement through local gardening and food-growing initiatives.
304,7,UK,10 points for equity and equality in the built environment,"By increasing biodiversity in cities, air pollution rates can also improve, thereby resulting in a greener and more interesting urban area and promoting healthier lifestyles to the benefit of all inhabitants."
305,7,UK,10 points for equity and equality in the built environment,8. Infrastructure:
306,7,UK,10 points for equity and equality in the built environment,Investing in infrastructure has become an increasingly popular means to combat inequality in cities around the world.
307,7,UK,10 points for equity and equality in the built environment,"However, evidence suggests that an uneven material interpretation of infrastructure has actually fostered spatial inequality (Pieterse et al., 2018)."
308,7,UK,10 points for equity and equality in the built environment,"If asset management and infrastructure are to help create a just city, thinking must depart from seeing infrastructure as the ultimate solution to economic development and from the simplified understanding of infrastructure as large physical structures of basic services."
309,7,UK,10 points for equity and equality in the built environment,Investment in SOCIAL INFRASTRUCTURE is just as sure to reduce inequalities across the globe.
310,7,UK,10 points for equity and equality in the built environment,The COVID 19 pandemic has shown that a just city should use infrastructure to combat isolation and education inequalities as much as it should provide roads and highways.
311,7,UK,10 points for equity and equality in the built environment,9. Language:
312,7,UK,10 points for equity and equality in the built environment,Spatial inequality is perpetuated by urban policy discourse through the erection of tecno-political barriers of knowing and imagining between the poor and the rich.
313,7,UK,10 points for equity and equality in the built environment,The informal and the formal.
314,7,UK,10 points for equity and equality in the built environment,The just city and the unjust.
315,7,UK,10 points for equity and equality in the built environment,"It is through language and discourse that the city is governed and imagined, with policy shedding light into how formal institutions respond (or don’t)."
316,7,UK,10 points for equity and equality in the built environment,"Places should be RE-ARTICULATED by local need and given new meaning by those who use them, moving planning away from a top down imposition to the COLLABORATIVE development of knowledge and policy."
317,7,UK,10 points for equity and equality in the built environment,10. Plan-Tech:
318,7,UK,10 points for equity and equality in the built environment,Technology and digitalisation provide a great opportunity to move away from PDF planning towards a more just and transparent method of urban governance.
319,7,UK,10 points for equity and equality in the built environment,"However, it must be remembered that this is a process not an end result in itself so ‘plan-tech’ should be utilized in careful, sustainable and collaborative ways."
320,7,UK,10 points for equity and equality in the built environment,Technology such as “commonplace” and “VU city” must be used by urban professionals to improve understanding of the built environment and explain spatial inequalities simply.
321,7,UK,10 points for equity and equality in the built environment,"Additionally, technology can be used to improve the process of ENGAGEMENT with options ranging from online examinations and inquiries to SIMPLIFYING the number of steps to comment online."
322,7,UK,10 points for equity and equality in the built environment,Our 10 themes provide a blueprint for how we can rearticulate and reimagine the urban environment.
323,7,UK,10 points for equity and equality in the built environment,"In the face of a global pandemic, climate crisis and rising inequality, now more than ever, humanity must create a more equitable urban landscape and fair society for all."
324,7,UK,10 points for equity and equality in the built environment,"A just city is possible, now is the time to act."
325,8,UK,A Just City is an Equitable City.,The point of cities is the multiplicity of choice”
326,8,UK,A Just City is an Equitable City.,Jane Jacobs
327,8,UK,A Just City is an Equitable City.,Manifesto
328,8,UK,A Just City is an Equitable City.,Overarching Pillar
329,8,UK,A Just City is an Equitable City.,A Just City is an Equitable City.
330,8,UK,A Just City is an Equitable City.,A Just City is where people make cities.
331,8,UK,A Just City is an Equitable City.,"To achieve a Just City, the power of the people need to be collectively mobilised."
332,8,UK,A Just City is an Equitable City.,"To realise this collective action, equity among all is crucial to ensure everyone has the ability and willingness to vocalise their agenda, where each person can proudly claim their right to the city."
333,8,UK,A Just City is an Equitable City.,"An Equitable City considers the various differences among people, rather than boxing them into ‘citizens’, which is inherently exclusive of those without formal citizenship."
334,8,UK,A Just City is an Equitable City.,"We must pay attention to the different experiences of diverse identity groups, for people to occupy the city and take control of how they shape their own urban experience."
335,8,UK,A Just City is an Equitable City.,Main Challenges
336,8,UK,A Just City is an Equitable City.,Climate Injustice
337,8,UK,A Just City is an Equitable City.,Humanity has destroyed the environment.
338,8,UK,A Just City is an Equitable City.,"In return, we face dangerous ramifications from extreme weather events that will only increase in magnitude and frequency."
339,8,UK,A Just City is an Equitable City.,"These events disproportionately impact different regions, and different facets of society."
340,8,UK,A Just City is an Equitable City.,"Inequalities in gender, race, ethnicity, age and income continue to exacerbate one’s susceptibility to the devastating consequences of climate change."
341,8,UK,A Just City is an Equitable City.,Urban Splintering
342,8,UK,A Just City is an Equitable City.,Urbanisation occurs at various densities.
343,8,UK,A Just City is an Equitable City.,It also occurs at various qualities.
344,8,UK,A Just City is an Equitable City.,"As urban infrastructure for mobility, public health, technology, public spaces, etc. are introduced, it is inevitable that certain areas are prioritised over others."
345,8,UK,A Just City is an Equitable City.,This leads to fragmentation where economic divides and spatial inequality manifest.
346,8,UK,A Just City is an Equitable City.,Lack of Participation
347,8,UK,A Just City is an Equitable City.,The right to the city is a neglected human right.
348,8,UK,A Just City is an Equitable City.,Cities are defined by local socio-economic processes which are driven by its people.
349,8,UK,A Just City is an Equitable City.,"In contrast, planning and governing processes often remain top-down and bureaucratic."
350,8,UK,A Just City is an Equitable City.,"The rise of emphatic technocratic professionals and proliferation of means testing to determine resource allocation only undermines the social value of cities, and enslaves various members of societies."
351,8,UK,A Just City is an Equitable City.,5 Key Pillars
352,8,UK,A Just City is an Equitable City.,Sense of Community and Empowerment
353,8,UK,A Just City is an Equitable City.,Cities should allow for the provision of open and shared spaces.
354,8,UK,A Just City is an Equitable City.,This allows for informal social interaction and the subsequent improvement of social capital.
355,8,UK,A Just City is an Equitable City.,"cities should move away from economic growth as a metric for success as soon as possible and strengthen the provision of the foundational economy, focusing on community-centric development."
356,8,UK,A Just City is an Equitable City.,"Cities should strengthen citizen well-being, liveability and empowerment for all members of society."
357,8,UK,A Just City is an Equitable City.,"This should be engrained in institutional processes, culture and the built environment."
358,8,UK,A Just City is an Equitable City.,"Cities must commit to just and fair inclusion of all people in society, where all can participate, prosper, and reach their full potential by achieving job security, equal housing access, fair education, and just representation in political processes."
359,8,UK,A Just City is an Equitable City.,Effective Leadership
360,8,UK,A Just City is an Equitable City.,"City governments are ultimately answerable to their populations, and officials must prioritise citizens’ needs before other interests."
361,8,UK,A Just City is an Equitable City.,"Intergovernmental relations must be optimised to foment a culture of effective urban governance, overcoming institutional sectionalism and leverage horizontal powers of relation to comprehensively tackle complex issues"
362,8,UK,A Just City is an Equitable City.,Cities could build concrete and effective relationships around a shared vision to accomplish goals through network approach.
363,8,UK,A Just City is an Equitable City.,"By finding solidarity through shared vision and goals, cities can engage other stakeholders and increase local acceptance while benefiting from the shared knowledge and best practices."
364,8,UK,A Just City is an Equitable City.,"Governments must respect differences and pay special attention to marginalised groups, respecting and providing for differences in nationality, ethnicity, age, sexuality and gender lines in modern society"
365,8,UK,A Just City is an Equitable City.,Governments should utilise a bottom-up approach and encourage public participation in envisioning and decision-making processes to ensure every voice is heard and well-represented.
366,8,UK,A Just City is an Equitable City.,Resilience
367,8,UK,A Just City is an Equitable City.,"Cities need to be forward thinking and implement resilience strategies to combat potential challenges. Resilience strategies could be at any scale, from retrofitting informal settlements to city-wide flood prevention measures."
368,8,UK,A Just City is an Equitable City.,It is crucial that these strategies extend to all and especially those most in need for change.
369,8,UK,A Just City is an Equitable City.,Cities should be built to withstand extreme weather events. Green and blue infrastructure should be fully embraced throughout the city.
370,8,UK,A Just City is an Equitable City.,Flood protection and water management will become essential in most coastal cities.
371,8,UK,A Just City is an Equitable City.,The value of such projects should be recognised as an urgent need and one of public good.
372,8,UK,A Just City is an Equitable City.,Cities should also be providing environments for biophilic living and opportunities to integrate climate sustainability into everyday living .
373,8,UK,A Just City is an Equitable City.,City-dwellers seldom ponder over the same issues which planners and architects spend hours deliberating upon.
374,8,UK,A Just City is an Equitable City.,"Thus, cities should impart the relevant knowledge to be involved in resiliency schemes."
375,8,UK,A Just City is an Equitable City.,"This encourages a sense of ownership of their city, strengthening resilience as more challenges emerge."
376,8,UK,A Just City is an Equitable City.,Collaboration
377,8,UK,A Just City is an Equitable City.,Cities cannot embark on projects alone.
378,8,UK,A Just City is an Equitable City.,They must learn to collaborate with various stakeholders including the private and third sector.
379,8,UK,A Just City is an Equitable City.,This helps to improve public trust and allows community resilience to be built.
380,8,UK,A Just City is an Equitable City.,"Cities, just like a brain’s neural network, must collaborate and form partnerships with other cities."
381,8,UK,A Just City is an Equitable City.,"This builds on the idea of connectography, allowing people, services, resources and knowledge to flow and grow."
382,8,UK,A Just City is an Equitable City.,Cities must engage and collaborate actively in mitigating climate change as climate change knows no border.
383,8,UK,A Just City is an Equitable City.,Cities must encourage friendly competition and encourage innovation.
384,8,UK,A Just City is an Equitable City.,Accessibility
385,8,UK,A Just City is an Equitable City.,"Citizens should be able to access what the city offers, regardless of who they are and where they reside."
386,8,UK,A Just City is an Equitable City.,Cities must enhancing accessibility to reliable information.
387,8,UK,A Just City is an Equitable City.,"This will uplift and empower communities, which unlocks a democratic dialogue to take place in urban planning practices."
388,8,UK,A Just City is an Equitable City.,"City governments should be accountable for making public transport, open space, cultural amenities, social infrastructure and political participation accessible for its people."
389,8,UK,A Just City is an Equitable City.,"The focus should be on where these are most needed, and not where they will prove most profitable."
390,9,USA,The right to a safe haven,What rights do the people of the City deserve?
391,9,USA,The right to a safe haven,This is something that should be asked by cities and governments all around the world.
392,9,USA,The right to a safe haven,"If discussed fully, this question would show the inequalities that are present everywhere."
393,9,USA,The right to a safe haven,"There are many groups of people that have a disproportionate number of inequalities against them, one group being Refugees of a young age."
394,9,USA,The right to a safe haven,Can you imagine the negative impact the Refugee crisis has on this young generation?
395,9,USA,The right to a safe haven,These children have seen their families killed and have had their childhood ripped away from them.
396,9,USA,The right to a safe haven,Did you know that “over half of the world’s Refugees are children”? (UNHCR)
397,9,USA,The right to a safe haven,"Did you know that “only 50% of Refugee children attend primary school” (UNHCR, 2016), compared to “a global average of more than 90%”? (UNESCO, 2017)"
398,9,USA,The right to a safe haven,"Did you know that “only 22 % of Refugee adolescents attend secondary school” (UNHCR, 2016), compared to “a global average of 84%” (UNESCO, 2017)?"
399,9,USA,The right to a safe haven,Did you know that “more than 6.6 million Refugees live in camps” (UNHCR)?
400,9,USA,The right to a safe haven,"Did you know that the “top three causes of death in Refugee children under five are neonatal deaths (31%), malaria (8.3%) and lower respiratory tract infections (5.6%)”? (UNHCR)"
401,9,USA,The right to a safe haven,Do you know that this young generation is our future?
402,9,USA,The right to a safe haven,So why make their path towards this future so dark?
403,9,USA,The right to a safe haven,"The answer to all these questions should be: all people, especially children, deserve a bright future; they deserve Equality."
404,9,USA,The right to a safe haven,But what does Equality mean to a young Refugee?
405,9,USA,The right to a safe haven,"Equality means that every person is entitled to certain basic necessities, with the minimum being: Housing, Healthcare and Education."
406,9,USA,The right to a safe haven,"Typically, young Refugees do not have access to any of these things."
407,9,USA,The right to a safe haven,"After being forced to flee the home of their birth, they are treated as second-class people."
408,9,USA,The right to a safe haven,They are not allowed access to necessary Education.
409,9,USA,The right to a safe haven,They are shunned by Healthcare professionals.
410,9,USA,The right to a safe haven,They are forced to live in camps and tents while someone else decides their future.
411,9,USA,The right to a safe haven,What does Equality mean to a young Refugee?
412,9,USA,The right to a safe haven,"If we think about the term “Refugees” in regards to Equality, then we should not refer to them in that way."
413,9,USA,The right to a safe haven,"A better term is “Haven Seekers,” as they are people seeking a safe and peaceful life away, from danger and wars."
414,9,USA,The right to a safe haven,"To reach Equality, we need to start with Integration."
415,9,USA,The right to a safe haven,A necessity for Integration is an adequate Standard of Living.
416,9,USA,The right to a safe haven,"And the easiest way to achieve this, is with proper Housing."
417,9,USA,The right to a safe haven,"Haven Seekers cannot be placed in areas that are undesirable, like they regularly are."
418,9,USA,The right to a safe haven,"Their Housing must be in suitable neighborhoods, right next to those of the native-born people. For young Haven Seekers to succeed, they must have access to all of the same goods and services."
419,9,USA,The right to a safe haven,This promotes their Integration; showing them they are on equal footing with the rest of the City.
420,9,USA,The right to a safe haven,"If put in this position, Haven Seekers can begin adding Value to the City in their own unique way."
421,9,USA,The right to a safe haven,This Integration can be implemented by the City’s government.
422,9,USA,The right to a safe haven,"With mixed income Housing that is accessible to all goods and services, as a base, and a certain percentage of each neighborhood reserved for Haven Seekers."
423,9,USA,The right to a safe haven,Healthcare is the Integration system that is the most convoluted.
424,9,USA,The right to a safe haven,"Because of the precarious legal status of Haven Seekers, neither they nor Healthcare workers are sure what level of care they are entitled to."
425,9,USA,The right to a safe haven,"Their health records are often unclear because of a lack of medical history (Chiarenza, A., 2019). Young Haven Seekers are particularly vulnerable because they do not know their history and there is a language barrier for both them and their parents (Chiarenza, A., 2019)."
426,9,USA,The right to a safe haven,"Additionally, they have trauma-related needs and often deal with longer administrative processes (Chiarenza, A., 2019)."
427,9,USA,The right to a safe haven,"For a young Haven Seeker to truly Integrate, Healthcare is not an issue they should have to worry about."
428,9,USA,The right to a safe haven,This is possible with governmental aid from the City.
429,9,USA,The right to a safe haven,"Specifically, by having a Healthcare system that does not charge Haven Seekers, and having dedicated personnel that specialize in their health issues."
430,9,USA,The right to a safe haven,"Then, Haven Seekers will be able to focus on their Integration to the City, so they can add their Value."
431,9,USA,The right to a safe haven,"For young Haven Seekers, Education is the most important aspect of Integration."
432,9,USA,The right to a safe haven,School is where these children develop most of their social skills and really begin to feel like a part of the City.
433,9,USA,The right to a safe haven,"Unfortunately, this is also one of the areas where they are most disproportionately affected."
434,9,USA,The right to a safe haven,"The legal and administrative processes they go through often restricts them from entering school for long periods, even though they are already lacking Education from their time migrating (Koehler & Schneider, 2019)."
435,9,USA,The right to a safe haven,This does not even account for the language barriers and psychological trauma that Haven Seekers have to overcome.
436,9,USA,The right to a safe haven,"Education should be the system that “fosters social inclusion, economic growth and innovation” among young Haven Seekers (Koehler & Schneider, 2019)."
437,9,USA,The right to a safe haven,Education is the best system for allowing Haven Seekers to add Value to the City.
438,9,USA,The right to a safe haven,"Therefore, the government should ensure that they are Integrated into the Educational system with the same consideration as native-born students."
439,9,USA,The right to a safe haven,"This can be done by getting the young Haven Seekers into the system as quickly as possible, with a personalized curriculum to account for the additional support that they need."
440,9,USA,The right to a safe haven,"Additionally, there are nonprofit organizations that play a large role in helping Haven Seekers Integrate to the City."
441,9,USA,The right to a safe haven,"These organizations have programs that support them with money, medical assistance, access to language classes, as well as vocational and employment assistance."
442,9,USA,The right to a safe haven,These programs help them to feel like they are on equal ground in the City.
443,9,USA,The right to a safe haven,"These are often ethnic, religious or charity organizations."
444,9,USA,The right to a safe haven,"Their only goal is to help Haven Seekers overcome the difficulties they face in this new land.  They are treated as a human no matter where they came from, their religion, group, gender, age, or sexual orientation."
445,9,USA,The right to a safe haven,"No person should be persecuted because of their race, religion, nationality, political opinion, affiliation to a group, or otherwise."
446,9,USA,The right to a safe haven,Those Haven Seekers are always welcome to our City.
447,9,USA,The right to a safe haven,"Here, they will find a place that prioritizes Integration, which leads to Value for the people and the City."
448,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"The Good, The Bad and the Elderly"
449,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Fun for all the family
450,10,Belgium,A Just City 2025 Catalogue: Planning Edition,The population is getting older.
451,10,Belgium,A Just City 2025 Catalogue: Planning Edition,The average age in cities is not.
452,10,Belgium,A Just City 2025 Catalogue: Planning Edition,The future should follow a new urban form that adapts and provides the stage for a good quality life.
453,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"The house and home as we know it should change, the street layout and transport system should change, because the people of the future are already changed."
454,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"2.  18,000"
455,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Archiprufen Medicine
456,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Take one a day for improved communication
457,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"Architects must get off their high horse and use design methods that everyone can understand. No architectural jargon, no academic papers that are only read by other like-minded individuals. Use simple methods that everyone can understand and contribute."
458,10,Belgium,A Just City 2025 Catalogue: Planning Edition,2027157
459,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Golden Ticket For Free Consultation
460,10,Belgium,A Just City 2025 Catalogue: Planning Edition,While stocks last.
461,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Providing social housing is not enough.
462,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"Even if affordable housing is available, the bureaucratic process used in countries such as Belgium often make it extremely difficult to apply for such services."
463,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"Social housing should support the people that need such services, not deteriorate their situation."
464,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Especially for people with mental health disabilities and the elderly.
465,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"4. 660,000"
466,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Stairchair
467,10,Belgium,A Just City 2025 Catalogue: Planning Edition,No more back entrances.
468,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Universal design should not be an afterthought.
469,10,Belgium,A Just City 2025 Catalogue: Planning Edition,It should be at the forefront of every design decision.
470,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Universal design is for everyone.
471,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Stop creating architecture for the select few and start designing for all humans.
472,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Let us value empathy over aesthetics.
473,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Designing durable architecture that is adaptable for the future.
474,10,Belgium,A Just City 2025 Catalogue: Planning Edition,5. 1.8M
475,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Civil Bang
476,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Urban surface cleanser
477,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Take control of the city as if you were holding the Olympics.
478,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Fix the problem at the source and stop romanticising slums.
479,10,Belgium,A Just City 2025 Catalogue: Planning Edition,We must stop turning a blind eye until the only remaining solution is eviction.
480,10,Belgium,A Just City 2025 Catalogue: Planning Edition,6. 1943M
481,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Sandcastle Bucket
482,10,Belgium,A Just City 2025 Catalogue: Planning Edition,No batteries Required!
483,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Vernacular architecture will be the predominant method of construction.
484,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Globalization has destroyed our sense of place and connection to the land.
485,10,Belgium,A Just City 2025 Catalogue: Planning Edition,We must invest in our intangible heritage.
486,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Stop introducing technologies that create more problems than they solve.
487,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"7. 18,700"
488,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Anti-Antihomeless Sleeping Bag
489,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Free for selected costumers
490,10,Belgium,A Just City 2025 Catalogue: Planning Edition,People you want to forget will take over the places you have forgotten about.
491,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"Cities are for everyone, no one should be forgotten about."
492,10,Belgium,A Just City 2025 Catalogue: Planning Edition,It is unacceptable that governments continue to allow this to happen and even limit the spaces where they can rough sleep.
493,10,Belgium,A Just City 2025 Catalogue: Planning Edition,It is crucial that we provide housing opportunities and help the homeless find a sustainable income.
494,10,Belgium,A Just City 2025 Catalogue: Planning Edition,8. 13.5M
495,10,Belgium,A Just City 2025 Catalogue: Planning Edition,House Recycling Machine
496,10,Belgium,A Just City 2025 Catalogue: Planning Edition,To be used extensively
497,10,Belgium,A Just City 2025 Catalogue: Planning Edition,No more empty spaces.
498,10,Belgium,A Just City 2025 Catalogue: Planning Edition,"Prioritize the adaptation and reuse of the existing, before building new."
499,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Increase our sustainable mindset.
500,10,Belgium,A Just City 2025 Catalogue: Planning Edition,We are losing our sense of place and polluting our already exhausted planet.
501,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Build for longevity not planned obsolescence.
502,10,Belgium,A Just City 2025 Catalogue: Planning Edition,9. 11.5M
503,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Building Block Set
504,10,Belgium,A Just City 2025 Catalogue: Planning Edition,For all ages
505,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Everyone should have a say in every design intervention.
506,10,Belgium,A Just City 2025 Catalogue: Planning Edition,We must move towards transformative participation for all design interventions.
507,10,Belgium,A Just City 2025 Catalogue: Planning Edition,Architects must acknowledge the power and potential of the citizen expert as a valued design member.
508,11,Belgium,POST PANDEMIC,POST PANDEMIC
509,11,Belgium,POST PANDEMIC,"Cities are reflections of societies, as such, the COVID-19 pandemic has proven the vulnerabilities of our ways of living."
510,11,Belgium,POST PANDEMIC,"A collection of manifestos invites people to participate in sharing alternative ideas, with a focus on the Just City."
511,11,Belgium,POST PANDEMIC,"The Just City is considered to be a utopia, however, this manifesto postulates ten fundamental conditions that will act as leverage on the transition from the current model of a city towards “The Just City”."
512,11,Belgium,POST PANDEMIC,1. Time: The Just City is a humanistic city that allocates time.
513,11,Belgium,POST PANDEMIC,The imposed social-distancing measures and teleworking have made us realign our daily routine.
514,11,Belgium,POST PANDEMIC,"The pandemic has raised consciousness for the way that the time is being spent, but it is not something we can just distribute to our likening."
515,11,Belgium,POST PANDEMIC,"By giving a different value to time, we reconsider the importance of work, which becomes an activity rather than a daily objective."
516,11,Belgium,POST PANDEMIC,"In the Just City, every inhabitant should be able to distribute their time in an equal manner."
517,11,Belgium,POST PANDEMIC,2. Isotropy: The Just City is a polycentric city.
518,11,Belgium,POST PANDEMIC,The crisis has highlighted this failed relationship between the city center and its urban context.
519,11,Belgium,POST PANDEMIC,"The basic services provided to citizens are numerous, yet they are not distributed equally."
520,11,Belgium,POST PANDEMIC,"Through the concentration of basic services, accessing them becomes a time-consuming effort and therefore a social divider."
521,11,Belgium,POST PANDEMIC,"Thus, the Just City must provide a spatial balance for every citizen to reach their essential facilities with a similar effort."
522,11,Belgium,POST PANDEMIC,3. Mobility: The Just City is an accessible city.
523,11,Belgium,POST PANDEMIC,"A significant impact, but also one of the main reasons for the virus spreading is in regard to our freedom of movement."
524,11,Belgium,POST PANDEMIC,"The pandemic has made us aware of the limit of convenient and fast ways of commuting, whether it is short distances or on a global scale."
525,11,Belgium,POST PANDEMIC,"In multiple locations, the governments had to limit the journeys to the few very essential ones."
526,11,Belgium,POST PANDEMIC,"Following the idea of hyper-proximity, each citizen should be able to do their essential daily activities by walking or at maximum biking distance."
